City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Fuente De Oro,CO,72.75,overcast clouds,3.4594,-73.6128,Urbanización Casabrava
178,Faanui,PF,81.73,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
181,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
182,Salinopolis,BR,79.68,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
184,Vung Tau,VN,85.75,overcast clouds,10.345999999999998,107.0843,Green hotel
186,Camacha,PT,70.56,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
187,Abu Kamal,SY,78.91,clear sky,34.4506,40.9171,محطة التلفاز
189,Cabo San Lucas,MX,84.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
190,Puerto Cabezas,NI,79.52,clear sky,14.0351,-83.3888,Cabaña Caribe
191,Kantang,TH,77.09,moderate rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
194,Saint-Pierre,RE,71.28,moderate rain,-21.3393,55.4781,Lindsey Hôtel
202,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
203,Isangel,VU,77.38,overcast clouds,-19.55,169.2667,Tanna Lodge
204,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
205,Beyneu,KZ,74.75,broken clouds,45.3167,55.2,NUR
207,Puerto Ayora,EC,74.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
208,Bonthe,SL,79.29,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
210,Mumford,GH,79.39,broken clouds,5.2618,-0.759,Spanish Villa
211,Benghazi,LY,72.12,clear sky,32.1167,20.0667,Tibesti Hotel
217,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
219,Makakilo City,US,80.56,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
222,Namibe,AO,75.11,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
225,Karratha,AU,81.75,clear sky,-20.7377,116.8463,ibis Styles Karratha
228,Baiao,BR,74.25,broken clouds,-2.7906,-49.6717,Hotel Eurosono
233,Mecca,SA,85.15,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
234,Murray Bridge,AU,70.32,overcast clouds,-35.1167,139.2667,Balcony On Sixth Lodge
235,Dingle,PH,84.81,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
239,Ouesso,CG,71.06,light rain,1.6136,16.0517,Hôtel ABENI
240,Caravelas,BR,71.04,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
241,Kamiichi,JP,70.77,broken clouds,36.7,137.3667,旅館 だんごや
242,Boralday,KZ,71.46,scattered clouds,43.3578,76.8594,"Zhetysu, Too Zhetysu"
243,Lazaro Cardenas,MX,78.19,clear sky,17.9583,-102.2,Hotel Quinta Antigua
244,Salalah,OM,80.91,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
247,Gorontalo,ID,84.52,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
254,Kamakwie,SL,76.6,light rain,9.5,-12.2333,
255,Los Lunas,US,75.65,overcast clouds,34.8062,-106.7334,Western Skies Inns & Suites
259,Shimoda,JP,76.15,heavy intensity rain,34.6667,138.95,Shimoda Tokyu Hotel
261,Mareeba,AU,73.44,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
263,Arlit,NE,89.87,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
268,Jawhar,SO,75.52,overcast clouds,2.7809,45.5005,cosoble spare parts
269,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
270,Vao,NC,73.4,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
272,Tezu,IN,73.62,overcast clouds,27.9167,96.1667,Circuit House
273,Amapa,BR,71.46,broken clouds,1.0,-52.0,
274,San Patricio,US,71.69,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
275,Surt,LY,72.12,scattered clouds,31.2089,16.5887,الهادي ابوشعاله سرت
276,Khuzdar,PK,76.32,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
280,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
282,Kirakira,SB,80.35,light rain,-10.4544,161.9205,SanBiz Lodge
283,Kieta,PG,85.24,light rain,-6.2167,155.6333,Uruna Bay Retreat
287,Bilma,NE,86.23,clear sky,18.6853,12.9164,Expeditions Ténére voyages
296,Balykshi,KZ,71.6,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
299,Katsuura,JP,70.23,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
302,Kununurra,AU,85.98,clear sky,-15.7667,128.7333,Hotel Kununurra
310,Miraflores,MX,71.87,few clouds,19.2167,-98.8083,Hotel Mansión
311,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Hotel Pigalle
312,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Two Moons Hotel
318,Souillac,MU,71.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
319,Lorengau,PG,85.84,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
320,Hasaki,JP,71.89,light rain,35.7333,140.8333,Hotel Sunrise Choshi
321,San Andres,CO,81.79,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
323,Hobyo,SO,79.25,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
324,Villa Union,MX,79.92,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
327,Yeppoon,AU,76.78,clear sky,-23.1333,150.7333,Villa Mar Colina
330,Kutum,SD,74.46,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
339,Rio Branco,BR,74.01,clear sky,-9.9747,-67.81,João Paulo Hotel
341,San Joaquin,US,72.18,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
342,Simbahan,PH,82.0,overcast clouds,6.3032,120.5836,
343,Moerai,PF,76.26,clear sky,-22.4333,-151.3333,Le Manotel
345,Oranjestad,AW,82.35,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
350,Pringsewu,ID,82.15,broken clouds,-5.3582,104.9744,Urban Style by Front One
351,Awbari,LY,81.95,few clouds,26.5921,12.7805,فندق أوباري
356,The Valley,AI,80.82,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
359,Mazagao,BR,80.65,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
360,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
362,Velasco Ibarra,EC,75.04,light rain,-1.05,-79.6167,White Room Studio
364,Veraval,IN,83.26,broken clouds,20.9,70.3667,Lords Inn Somnath
366,Sibolga,ID,82.99,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
367,Morro Bay,US,71.4,clear sky,35.3658,-120.8499,Inn at Morro Bay
368,Duku,NG,85.66,overcast clouds,11.2361,4.9073,
370,Cleveland,US,72.75,clear sky,41.4995,-81.6954,Renaissance Cleveland Hotel
371,Maragogi,BR,75.49,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
374,Vostok,RU,75.99,overcast clouds,46.4856,135.8833,
377,Jorhat,IN,75.79,overcast clouds,26.75,94.2167,Hotel Jora Palace
378,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
379,Sangre Grande,TT,80.06,clear sky,10.5835,-61.1177,Lotus drive
380,Porto Walter,BR,72.23,clear sky,-8.2686,-72.7439,Secretaria de saúde
384,Lodhikheda,IN,79.52,few clouds,21.5833,78.8333,CWC office Lodhikheda
386,Sola,VU,80.35,overcast clouds,-13.8833,167.55,Leumerus Bungalows
388,Phan Thiet,VN,86.58,overcast clouds,10.9333,108.1,Hotel Saigon-PT
391,Shaoxing,CN,71.92,overcast clouds,30.011,120.5715,Holiday Inn Shaoxing
394,Cam Ranh,VN,89.56,clear sky,11.9214,109.1591,OYO 598 Peony Hotel
400,Payakumbuh,ID,77.7,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
401,Nioro,GM,79.88,overcast clouds,13.35,-15.75,
402,Kavaratti,IN,83.95,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
408,Papar,MY,84.2,overcast clouds,5.7333,115.9333,Koposizon Homestay
410,Tura,IN,78.44,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
415,Hun,LY,81.41,broken clouds,29.1268,15.9477,Alrwasi Hotel
416,Dhamrai,BD,84.18,overcast clouds,23.9202,90.2109,Dhamrai to Kalampur Auto Station
419,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
424,Diamantino,BR,71.56,clear sky,-14.4086,-56.4461,Hotel Delta
426,Zhengjiatun,CN,82.15,overcast clouds,43.5064,123.5064,Siping Hexiang Hotel
427,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
430,Matay,EG,72.91,clear sky,28.419,30.7792,Nag Aespen
434,Mitu,CO,70.57,overcast clouds,1.1983,-70.1733,
436,Dalbandin,PK,84.07,clear sky,28.8947,64.4101,Sanjrani House
438,Acapulco,MX,81.12,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
439,Bairiki,KI,87.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
443,Oriximina,BR,76.69,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
