City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Husavik,IS,2021-05-15 19:31:06,66.0449,-17.3389,39.2,60,90,10.36
67,Lorengau,PG,2021-05-15 19:31:06,-2.0226,147.2712,83.21,78,100,9.86
68,Belaya Gora,RU,2021-05-15 19:31:06,68.5333,146.4167,28.6,89,98,3.51
69,Sampit,ID,2021-05-15 19:31:07,-2.5333,112.95,76.23,96,100,2.46
70,Krasnoarmeysk,RU,2021-05-15 19:31:07,51.0239,45.6969,65.07,55,67,7.54
71,Chandia,IN,2021-05-15 19:31:07,23.65,80.7,86.11,38,14,2.33
72,Upernavik,GL,2021-05-15 19:31:07,72.7868,-56.1549,33.91,79,100,3.83
73,Raisio,FI,2021-05-15 19:31:08,60.4859,22.169,50.0,87,0,3.44
74,Hualmay,PE,2021-05-15 19:31:08,-11.0964,-77.6139,69.58,70,7,9.01
75,Whyalla,AU,2021-05-15 19:31:08,-33.0333,137.5833,55.4,76,90,10.36
76,Belyy Yar,RU,2021-05-15 19:31:08,53.6039,91.3903,57.2,58,40,6.71
77,Marienburg,PL,2021-05-15 19:31:09,54.0359,19.0266,55.0,100,99,6.46
78,Shimoda,JP,2021-05-15 19:31:09,34.6667,138.95,68.0,75,100,1.01
79,Bluff,NZ,2021-05-15 19:31:09,-46.6,168.3333,44.13,86,82,14.05
80,Mundo Nuevo,MX,2021-05-15 19:31:09,18.7,-95.5,83.39,66,52,9.01
81,Gerash,IR,2021-05-15 19:31:10,27.6652,54.1371,86.0,16,0,3.42
82,Airai,TL,2021-05-15 19:31:10,-8.9266,125.4092,55.18,84,73,3.29
83,Qaanaaq,GL,2021-05-15 19:31:10,77.484,-69.3632,33.64,77,93,6.87
84,Tocopilla,CL,2021-05-15 19:31:10,-22.092,-70.1979,70.36,73,21,11.39
85,Hay River,CA,2021-05-15 19:30:18,60.8156,-115.7999,39.2,93,100,10.36
86,Petropavlovsk-Kamchatskiy,RU,2021-05-15 19:30:18,53.0452,158.6483,35.6,69,30,11.18
87,Faanui,PF,2021-05-15 19:31:11,-16.4833,-151.75,81.37,74,100,16.13
88,Urubicha,BO,2021-05-15 19:31:11,-15.3833,-62.95,81.3,57,100,1.45
89,Ilulissat,GL,2021-05-15 19:31:11,69.2167,-51.1,35.6,75,75,5.75
90,Vestmanna,FO,2021-05-15 19:31:11,62.1564,-7.1664,42.8,87,75,14.97
91,Douentza,ML,2021-05-15 19:31:12,14.9951,-2.9517,93.18,30,100,18.95
92,Basco,PH,2021-05-15 19:31:12,20.4487,121.9702,82.4,86,6,18.25
93,Jacareacanga,BR,2021-05-15 19:31:12,-6.2222,-57.7528,84.16,63,73,4.79
94,Deputatskiy,RU,2021-05-15 19:31:12,69.3,139.9,23.14,97,100,3.33
95,Manchester,GB,2021-05-15 19:29:43,53.4809,-2.2374,53.01,82,75,4.61
96,Cherskiy,RU,2021-05-15 19:31:13,68.75,161.3,34.11,82,100,6.51
97,Port Elizabeth,ZA,2021-05-15 19:30:20,-33.918,25.5701,60.8,88,0,8.05
98,Abhar,IR,2021-05-15 19:31:13,36.1468,49.218,55.74,72,6,4.03
99,Kovdor,RU,2021-05-15 19:31:13,67.5662,30.4758,38.75,91,100,3.0
100,Puerto Carreno,CO,2021-05-15 19:30:09,6.189,-67.4859,91.04,49,97,2.26
101,Sabla,NG,2021-05-15 19:31:13,12.7525,4.7077,95.41,27,96,7.45
102,Banikoara,BJ,2021-05-15 19:31:14,11.2985,2.4386,85.6,48,100,11.14
103,Waingapu,ID,2021-05-15 19:31:14,-9.6567,120.2641,74.86,80,15,9.69
104,Ponta Delgada,PT,2021-05-15 19:31:14,37.7333,-25.6667,64.4,94,75,9.22
105,Cidreira,BR,2021-05-15 19:31:14,-30.1811,-50.2056,63.75,73,0,5.41
106,Langham,CA,2021-05-15 19:31:15,52.3668,-106.9679,73.4,28,75,9.22
107,Tasiilaq,GL,2021-05-15 19:31:15,65.6145,-37.6368,33.8,69,1,4.61
108,Guerrero Negro,MX,2021-05-15 19:31:15,27.9769,-114.0611,66.99,55,97,16.04
109,Narsaq,GL,2021-05-15 19:31:15,60.9167,-46.05,53.6,15,20,8.05
110,Sabinas,MX,2021-05-15 19:30:11,27.85,-101.1167,86.65,46,58,11.18
111,Grants Pass,US,2021-05-15 19:31:16,42.439,-123.3284,75.99,31,1,11.5
